fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-03-11,1984.93,2130.92,1315.89,32.92,22.08,True,15.92,9.93,6.07,True,3.89,2.11,True
2022-03-12,1984.24,2130.01,1315.69,32.01,22.99,True,15.01,9.24,6.76,True,3.69,2.31,True
2022-03-13,1983.23,2129.56,1315.77,31.56,23.44,True,14.56,8.23,7.77,True,3.77,2.23,True
2022-03-14,1983.51,2130.21,1315.66,32.21,22.79,True,15.21,8.51,7.49,True,3.66,2.34,True
2022-03-15,1983.69,2129.91,1315.76,31.91,23.09,True,14.91,8.69,7.31,True,3.76,2.24,True
2022-03-16,1984.75,2128.82,1316.08,30.82,24.18,True,13.82,9.75,6.25,True,4.08,1.92,True
2022-03-17,1985.64,2129.92,1315.68,31.92,23.08,True,14.92,10.64,5.36,True,3.68,2.32,True
2022-03-18,1985.77,2129.85,1315.97,31.85,23.15,True,14.85,10.77,5.23,True,3.97,2.03,True
2022-03-19,1986.63,2129.37,1316.37,31.37,23.63,True,14.37,11.63,4.37,True,4.37,1.63,True
2022-03-20,1984.96,2130.48,1315.33,32.48,22.52,True,15.48,9.96,6.04,True,3.33,2.67,True
2022-03-21,1983.69,2131.12,1316.26,33.12,21.88,True,16.12,8.69,7.31,True,4.26,1.74,True
2022-03-22,1983.24,2131.2,1314.64,33.2,21.8,True,16.2,8.24,7.76,True,2.64,3.36,True
2022-03-23,1983.3,2130.69,1315.35,32.69,22.31,True,15.69,8.3,7.7,True,3.35,2.65,True
2022-03-24,1984.03,2129.9,1315.31,31.9,23.1,True,14.9,9.03,6.97,True,3.31,2.69,True
2022-03-25,1983.85,2129.92,1315.37,31.92,23.08,True,14.92,8.85,7.15,True,3.37,2.63,True
2022-03-26,1985.56,2128.93,1316.22,30.93,24.07,True,13.93,10.56,5.44,True,4.22,1.78,True
2022-03-27,1984.57,2129.88,1315.92,31.88,23.12,True,14.88,9.57,6.43,True,3.92,2.08,True
