fecha_consulta,periodo,importacion_tablero,importacion_pct,hidroelectrica_tablero,hidroelectrica_pct,termica_tablero,termica_pct,renovable_tablero,renovable_pct,exportacion_tablero,exportacion_pct,generacion_bruta_tablero,unidad_declarada,paute_tablero,sopladora_tablero,mazar_tablero
2026-09-03T16:15:35+00:00,anio,7433.62,6.91,77792.902,72.33,20116.412,18.71,2202.517,2.05,0.0,0.0,107545.452,según tablero CENACE (magnitud por validar contra informes oficiales),14803.0,8450.0,1828.0
2026-09-03T16:15:35+00:00,dia,3792.632,7.66,34651.624,69.96,10832.313,21.87,255.203,0.52,0.0,0.0,49531.771,según tablero CENACE (magnitud por validar contra informes oficiales),6122.0,3584.0,1509.0
2026-09-04T16:10:46+00:00,mes,7221.5,6.49,81523.913,73.29,20218.46,18.18,2267.24,2.04,0.0,0.0,111231.113,según tablero CENACE (magnitud por validar contra informes oficiales),16024.0,9233.0,2299.0
2026-09-04T16:10:46+00:00,dia,4252.032,8.56,34215.016,68.9,10844.379,21.84,344.611,0.69,0.0,0.0,49656.039,según tablero CENACE (magnitud por validar contra informes oficiales),6075.0,3546.0,946.0
2026-09-04T16:10:46+00:00,anio,14655.12,6.7,159316.815,72.82,40334.872,18.44,4469.757,2.04,0.0,0.0,218776.565,según tablero CENACE (magnitud por validar contra informes oficiales),30827.0,17683.0,4127.0
2026-09-05T14:58:56+00:00,dia,3362.811,8.21,27880.467,68.06,9423.752,23.01,296.369,0.72,0.0,0.0,40963.399,según tablero CENACE (magnitud por validar contra informes oficiales),4538.0,2563.0,679.0
2026-09-05T14:58:56+00:00,mes,7274.63,6.57,81164.252,73.27,19749.625,17.83,2591.257,2.34,0.0,0.0,110779.765,según tablero CENACE (magnitud por validar contra informes oficiales),15370.0,8873.0,3178.0
2026-09-05T14:58:56+00:00,anio,21929.75,6.65,240481.068,72.97,60084.497,18.23,7061.015,2.14,0.0,0.0,329556.33,según tablero CENACE (magnitud por validar contra informes oficiales),46197.0,26556.0,7305.0
2026-09-06T15:19:32+00:00,mes,8144.15,7.27,81556.188,72.78,19604.463,17.49,2752.997,2.46,0.0,0.0,112057.798,según tablero CENACE (magnitud por validar contra informes oficiales),15109.0,8748.0,2501.0
2026-09-06T15:19:32+00:00,dia,2225.252,5.51,28476.73,70.47,9305.657,23.03,403.778,1.0,0.0,0.0,40411.417,según tablero CENACE (magnitud por validar contra informes oficiales),4860.0,2498.0,1004.0
2026-09-06T15:19:32+00:00,anio,30073.9,6.81,322037.255,72.92,79688.96,18.04,9814.013,2.22,0.0,0.0,441614.128,según tablero CENACE (magnitud por validar contra informes oficiales),61306.0,35304.0,9806.0
2026-09-07T17:39:37+00:00,dia,131.816,0.25,41664.698,79.33,10380.659,19.77,341.622,0.65,44.612,0.08,52518.795,según tablero CENACE (magnitud por validar contra informes oficiales),9794.0,5328.0,1775.0
2026-09-07T17:39:37+00:00,mes,5770.51,5.41,78615.228,73.76,19395.502,18.2,2801.467,2.63,43.81,0.04,106582.708,según tablero CENACE (magnitud por validar contra informes oficiales),14807.0,8458.0,2202.0
2026-09-07T17:39:37+00:00,anio,35844.41,6.54,400652.483,73.09,99084.462,18.07,12615.48,2.3,43.81,0.01,548196.835,según tablero CENACE (magnitud por validar contra informes oficiales),76113.0,43762.0,12008.0
2026-09-08T16:28:02+00:00,dia,35.809,0.08,36457.113,76.8,10699.967,22.54,278.434,0.59,94.686,0.2,47471.322,según tablero CENACE (magnitud por validar contra informes oficiales),8492.0,4842.0,1287.0
2026-09-08T16:28:02+00:00,anio,39261.41,6.07,475122.888,73.52,116383.96,18.01,15522.805,2.4,77.14,0.01,646291.062,según tablero CENACE (magnitud por validar contra informes oficiales),88937.0,50800.0,15195.0
2026-09-08T16:28:02+00:00,mes,3417.0,3.48,74470.405,75.92,17299.498,17.64,2907.325,2.96,33.33,0.03,98094.227,según tablero CENACE (magnitud por validar contra informes oficiales),12824.0,7038.0,3187.0
2026-09-09T16:24:47+00:00,anio,39366.66,5.24,560294.453,74.56,134042.578,17.84,17716.247,2.36,246.62,0.03,751419.938,según tablero CENACE (magnitud por validar contra informes oficiales),110195.0,61234.0,18664.0
2026-09-09T16:24:47+00:00,dia,25.598,0.05,37764.497,77.28,10760.038,22.02,317.264,0.65,48.573,0.1,48867.398,según tablero CENACE (magnitud por validar contra informes oficiales),9111.0,5041.0,1698.0
2026-09-09T16:24:47+00:00,mes,105.25,0.1,85171.565,81.02,17658.618,16.8,2193.443,2.09,169.48,0.16,105128.875,según tablero CENACE (magnitud por validar contra informes oficiales),21258.0,10434.0,3469.0
2026-09-10T16:13:54+00:00,anio,39460.95,4.59,646032.375,75.16,153878.872,17.9,20127.145,2.34,443.65,0.05,859499.342,según tablero CENACE (magnitud por validar contra informes oficiales),131268.0,71913.0,22075.0
2026-09-10T16:13:54+00:00,mes,94.29,0.09,85737.923,79.33,19836.295,18.35,2410.898,2.23,197.03,0.18,108079.405,según tablero CENACE (magnitud por validar contra informes oficiales),21073.0,10679.0,3410.0
2026-09-10T16:13:54+00:00,dia,67.351,0.14,38436.694,78.52,10164.031,20.76,282.325,0.58,55.453,0.11,48950.402,según tablero CENACE (magnitud por validar contra informes oficiales),7958.0,4471.0,1132.0
2026-09-11T16:17:52+00:00,dia,30.333,0.06,37396.573,77.49,10550.804,21.86,280.071,0.58,62.396,0.13,48257.781,según tablero CENACE (magnitud por validar contra informes oficiales),8783.0,5036.0,1248.0
2026-09-11T16:17:52+00:00,mes,135.31,0.12,87439.712,79.51,20172.665,18.34,2226.965,2.02,113.78,0.1,109974.652,según tablero CENACE (magnitud por validar contra informes oficiales),20731.0,10853.0,3699.0
2026-09-11T16:17:52+00:00,anio,39596.26,4.08,733472.088,75.66,174051.538,17.95,22354.11,2.31,557.43,0.06,969473.995,según tablero CENACE (magnitud por validar contra informes oficiales),151998.0,82766.0,25774.0
2026-09-12T15:24:07+00:00,dia,56.544,0.13,32952.927,75.94,10054.119,23.17,327.164,0.75,33.092,0.08,43390.754,según tablero CENACE (magnitud por validar contra informes oficiales),7125.0,4182.0,871.0
2026-09-12T15:24:07+00:00,mes,164.51,0.15,89079.75,80.65,18797.225,17.02,2417.617,2.19,134.48,0.12,110459.103,según tablero CENACE (magnitud por validar contra informes oficiales),20532.0,10303.0,3106.0
2026-09-12T15:24:07+00:00,anio,39760.77,3.68,822551.838,76.17,192848.763,17.86,24771.728,2.29,691.91,0.06,1079933.098,según tablero CENACE (magnitud por validar contra informes oficiales),172530.0,93069.0,28880.0
2026-09-13T16:02:25+00:00,mes,116.37,0.11,86906.323,79.59,20344.89,18.63,1830.287,1.68,125.22,0.11,109197.87,según tablero CENACE (magnitud por validar contra informes oficiales),19115.0,10729.0,3203.0
2026-09-13T16:02:25+00:00,dia,51.285,0.11,33295.013,74.14,11190.704,24.92,371.012,0.83,73.033,0.16,44908.014,según tablero CENACE (magnitud por validar contra informes oficiales),7147.0,4140.0,982.0
2026-09-13T16:02:25+00:00,anio,39877.14,3.35,909458.16,76.48,213193.652,17.93,26602.015,2.24,817.13,0.07,1189130.968,según tablero CENACE (magnitud por validar contra informes oficiales),191645.0,103798.0,32083.0
